desc	dist_to_obj	dist_to_recep	dist_obj_to_recep	agent_facing	intent
move the alarm clock from one desk to another one	2.07	2.69	1.39	0.9704	5
move the alarm clock from one desk to another one	2.07	2.07	0.13	0.9704	9
move the alarm clock from one desk to another one	0.43	1.39	1.56	-0.87	14
move the alarm clock from one desk to another one	0.02	0.35	0.34	0.71	10
put the alarm clock on the large wooden desk	2.07	2.69	1.39	0.9704	5
put the alarm clock on the large wooden desk	2.07	2.07	0.4	0.9704	9
put the alarm clock on the large wooden desk	0.2	1.39	1.43	-0.66	14
put the alarm clock on the large wooden desk	0.27	0.2	0.25	-0.22	13
place an alarm clock down on the larger desk in the room	2.07	2.69	1.39	0.9704	5
place an alarm clock down on the larger desk in the room	2.07	2.07	0.26	0.9704	9
place an alarm clock down on the larger desk in the room	0.45	1.39	1.39	-0.9	14
place an alarm clock down on the larger desk in the room	0.13	0.07	0.09	0.83	10
move a clock to another desk	2.07	2.69	1.39	0.9704	5
move a clock to another desk	2.07	2.07	0.45	0.9704	9
move a clock to another desk	0.21	1.39	1.2	-0.02	14
move a clock to another desk	0.29	0.47	0.08	-0.02	13
move an alarm clock to the desk	2.07	2.69	1.39	0.9704	5
move an alarm clock to the desk	2.07	2.07	0.26	0.9704	9
move an alarm clock to the desk	0.26	1.39	1.53	-0.43	14
move an alarm clock to the desk	0.46	0.02	0.32	0.15	13
put an alarm clock on the desk in the corner above the drawers	2.07	2.69	1.39	0.9704	5
put an alarm clock on the desk in the corner above the drawers	2.07	2.07	0.05	0.9704	9
put an alarm clock on the desk in the corner above the drawers	0.09	1.39	1.58	0.81	7
put an alarm clock on the desk in the corner above the drawers	0.41	0.49	0.23	-0.66	13
turn right turn left walk towards the small desk on the left side	-1	-1	-1	0.9704	0
pick up the alarm clock that is on the desk	0.49	-1	-1	-0.81	11
turn right walk towards the wall turn to face the desk to the left	-1	1.39	-1	1	0
put the alarm clock on the desk	-1	0.17	-1	0.99	2
walk forward to the small desk in front of you	-1	-1	-1	0.9704	0
pick up the middle alarm clock from the desk	0.12	-1	4.53	0.91	1
turn right and walk to the right side of the larger wooden desk	-1	1.39	-1	1	0
put the clock down on the desk just right of the book	6.16	0.23	7.03	0.9	2
take a right and walk over to the small desk on the left	-1	-1	-1	0.9704	0
take an alarm clock off of the desk there	0.43	-1	-1	-0.4	11
move over to the right side of the room and turn left to face the right side of the larger desk	-1	1.39	-1	1	0
place the alarm clock down on the desk there	-1	0.32	-1	-0.15	12
move to the desk that is on the left side	-1	-1	-1	0.9704	0
pick up the clock that is in the back middle on top of the desk	0.38	4.01	1.65	0.65	1
carry the clock to the desk on the left side	-1	1.39	-1	1	0
place the clock on the far right side of the desk top	6.45	0.29	-1	0.27	12
walk up to the small desk that is in front of you	-1	-1	-1	0.9704	0
pick up the alarm clock that is in the middle of the other two	0.4	5.09	-1	0.82	1
turn right and head over to the desk	-1	1.39	-1	1	0
place the alarm clock down on the desk	5.16	0.05	-1	-0.41	12
go straight to the small wooden desk with clocks on it	-1	-1	-1	0.9704	0
grab the alarm clock closest to the back wall and beside the lamp	0.12	-1	0.26	0.76	1
turn to your right and walk to the end of the desk	-1	1.39	-1	1	0
place the alarm clock on the desk above the drawers	-1	0.38	6.37	0.94	2
turn right turn left walk towards the small desk on the left side pick up the alarm clock that is on the desk	2.07	-1	-1	0.9704	3
